,,□,商店街（代表者）,お客様の様子,・商店街で電気店を営んでいるが、年金生活者の高齢客が、電化製品の購入に慎重になっている。,,
,,□,商店街（代表者）,お客様の様子,・残暑のためか、３連休が続いたためかは分からないが、例年に比べて客の様子があまり良くない。,,
,,□,商店街（代表者）,販売量の動き,・必要な物以外は売れないという状態が、ここ数か月続いている。客単価が伸びていないことが、売上の伸び悩みにつながっている。,,
,,□,一般小売店［薬局］（経営者）,来客数の動き,・天候不順と祝日の影響で、８月に続いて、売上は減少している。また、病院、薬局にかかる人の数が減少しており、医療関係業界では、売上が10％減少している。,,
,,□,一般小売店［生花］（経営者）,お客様の様子,・価格、品質を注視して、どちらの商品がより得かを、見極めてから購入する客が増えている。,,
,,□,一般小売店［時計］（経営者）,来客数の動き,・相変わらず、客単価が低い。,,
,,□,一般小売店［酒類］（経営者）,販売量の動き,"・９月になっても真夏のように暑い日が続き、商店街へ来る客は少なくなっている。
・選挙、首相交代と続き政治が不安定で、年金問題の先行きの見通しも立たない現状では、消費者は支出を抑えざるを得ない。",,
,,□,百貨店（売場主任）,お客様の様子,・セール期間中はにぎわっていたが、セール後は買物を控えているようで、秋物の動きも悪くなっている。,,
,,□,百貨店（企画担当）,販売量の動き,・気温が30度を上回る日が多く、秋物の動きが低調である。特にミセスの商品が苦戦している。,,
,,□,百貨店（企画担当）,販売量の動き,・９月に入っても例年以上の暑さが続いており、百貨店の主力である秋物の婦人服の売上が伸び悩んでいる。,,
,,□,百貨店（婦人服販売担当）,お客様の様子,・富裕層やキャリア層を対象とした秋物の高額商品の売行きは、良くなってきている。それ以外は、相変わらず厳しい。,,
,,□,スーパー（経営者）,お客様の様子,・野菜や大手メーカーの食品が値上がり傾向にあるが、店としてはあまり値上げをできず、利益は増えない。客は、低価格商品の売場に集中したり、商品をよく調べて購入したりするなど、生活防衛を一段と強化している。,,
,,□,スーパー（経営者）,お客様の様子,・近隣に超大型店が進出し、24時間営業のため客が多数流れており、周辺の中小スーパーは大変苦労している。,,
,,□,スーパー（店長）,来客数の動き,・来客数の伸びが鈍化している。ただし、客単価はあまり変化していない。,,
,,□,スーパー（店員）,単価の動き,・来客数は横ばいで落ち着いているが、客単価が低下している。その分、店全体の売上は減少している。,,
,,□,スーパー（仕入担当）,単価の動き,・来客数は前年並みで安定的に推移しているが、小麦粉等の原材料の値上がりに伴い、一部の製品価格が上昇を始めている。そのため、特売品の購入頻度が上がっており、売上は見かけ上、前年並みを維持しているが、利益率は低下している。,,
,,□,コンビニ（経営者）,それ以外,・悪い状態で安定しており、良くなる気配がない。同業者からも、収入が少なく生活が厳しくなっているという話を聞き、不安になっている。,,
,,□,コンビニ（エリア担当）,それ以外,・売上の前年割れは継続している。客は、本当に必要な物以外は購入しない。,,
,,□,コンビニ（商品開発担当）,販売量の動き,・愛知県内の店舗の売上は好調が続いているが、岐阜県の落ち込みが大きく、三重県も低調のため、全体の売上は伸びていない。,,
,,□,コンビニ（店長）,販売量の動き,・残暑が厳しく、飲料を中心に動きが良い。,,
,,□,衣料品専門店（経営者）,お客様の様子,・固定客は前年と変わらないが、新規の客が少なく、全体の来客数は減少している。固定客の買物も、新しいメーカーの購入割合が高く、もし今年も前年と同じメーカーの仕入れであったなら、売上はどうなっていたか分からない。,,
