,東京都,▲,輸送業（経営者）,それ以外,・年明けの荷動きは鈍く、道路の混雑も余りなく、人気の七福神巡りの人出も少ないように思う。新年のにぎわいや街の活気が感じられず、重苦しいスタートとなっている（東京都）。,
,東京都,▲,金融業（支店長）,取引先の様子,・米中貿易摩擦の影響で、中国での電子機器の売行きが鈍化している。国内の半導体関連の受注が激減している。,
,東京都,▲,金融業（役員）,取引先の様子,・不動産業者の建売事業等について、販売がやや低迷しており、不動産の新規仕入についても慎重になっている傾向がみられる。,
,東京都,▲,経営コンサルタント,取引先の様子,・以前より購入に慎重な姿勢が顕著になっている。,
,東京都,▲,経営コンサルタント,取引先の様子,・中小機械製造業、金属加工業では、受注が厳しくなっている（東京都）。,
,東京都,▲,その他サービス業［映像制作］（経営者）,受注価格や販売価格の動き,・例年同時期に来る同じ内容の仕事でも、コストカットを求められるケースが多く、取引先の希望で価格を決められることが多くなっている（東京都）。,
,東京都,▲,その他サービス業［ソフト開発］（経営者）,それ以外,・前年12月のボーナス総額が一昨年と比較して合計値で下がっている。これは比較すると受注金額が下がったためである（東京都）。,
,東京都,×,出版・印刷・同関連産業（経営者）,受注量や販売量の動き,・10～12月が当社の繁忙期だったため、それと比べれば景気は悪い（東京都）。,
,東京都,×,出版・印刷・同関連産業（所長）,それ以外,・１月は例年閑散期ではあるが、想定以上に案件数が減少しており、苦戦している。,
,東京都,×,電気機械器具製造業（経営者）,受注量や販売量の動き,・営業の募集をしてもなかなか人材が集まらないため、営業所を１つ閉鎖した。それが即、売上に影響している（東京都）。,
,東京都,×,精密機械器具製造業（経営者）,受注量や販売量の動き,・産業輸送機関係の部品加工業が中心だが、受注量に対する１日当たりの生産台数が10％ほど減産してきている。,
"雇用
関連

(南関東)",東京都,◎,人材派遣会社（営業担当）,雇用形態の様子,・労働者派遣法抵触への対応により、対象者の20％が直接雇用へ転換している（東京都）。,
,東京都,○,人材派遣会社（支店長）,それ以外,・採用条件の時給に着目して判断した。求職者がより高い時給での就業を希望しており、それに合わせて良い人材を確保するために条件面を上げて募集する企業がやや増えているように感じる。,
,東京都,○,職業安定所（職員）,求職者数の動き,・３か月前と比べると、新規求職者数が14.6％も減少し、就職率も6.7％上昇している（東京都）。,
,東京都,□,人材派遣会社（社員）,求人数の動き,・例年１～２月というのは求人が少ないが、今年も目立った求人数増加の動きはない（東京都）。,
,東京都,□,人材派遣会社（社員）,求人数の動き,・求人数は引き続き堅調に推移している。,
,東京都,□,人材派遣会社（社員）,それ以外,・会社での求人、採用数、自身を含めた周囲の消費動向、いずれも変化がみられない（東京都）。,
,東京都,□,人材派遣会社（社員）,雇用形態の様子,・同一労働同一賃金を踏まえて、派遣採用に関して消極的になる一方で、直接雇用を希望する企業が増えてきている（東京都）。,
